match_id,table_tier,wager_amount,break_type,outcome,net_coins_change,running_bankroll
MTH-0413,London Pub,50,Second-Ball Break,Loss,-50,-40750
MTH-0414,Tokyo Warrior,2500,Power Break,Win,2500,-38250
MTH-0415,London Pub,50,Soft Break,Loss,-50,-38300
MTH-0416,Tokyo Warrior,2500,Power Break,Win,2500,-35800
MTH-0417,Sydney Marina,250,Power Break,Win,250,-35550
MTH-0418,Sydney Marina,250,Second-Ball Break,Win,250,-35300
MTH-0419,Tokyo Warrior,2500,Dry Break (No Pot),Loss,-2500,-37800
MTH-0420,Moscow Winter,500,Second-Ball Break,Win,500,-37300
MTH-0421,Moscow Winter,500,Power Break,Loss,-500,-37800
MTH-0422,Sydney Marina,250,Power Break,Loss,-250,-38050
MTH-0423,Sydney Marina,250,Power Break,Win,250,-37800
MTH-0424,London Pub,50,Power Break,Loss,-50,-37850
MTH-0425,Sydney Marina,250,Second-Ball Break,Win,250,-37600
MTH-0426,Tokyo Warrior,2500,Power Break,Loss,-2500,-40100
MTH-0427,Moscow Winter,500,Power Break,Loss,-500,-40600
MTH-0428,Moscow Winter,500,Power Break,Win,500,-40100
MTH-0429,London Pub,50,Power Break,Win,50,-40050
MTH-0430,Moscow Winter,500,Second-Ball Break,Win,500,-39550
MTH-0431,Moscow Winter,500,Soft Break,Loss,-500,-40050
MTH-0432,Las Vegas,10000,Second-Ball Break,Win,10000,-30050
MTH-0433,Tokyo Warrior,2500,Second-Ball Break,Win,2500,-27550
MTH-0434,Las Vegas,10000,Power Break,Win,10000,-17550
MTH-0435,Moscow Winter,500,Dry Break (No Pot),Loss,-500,-18050
MTH-0436,London Pub,50,Power Break,Win,50,-18000
MTH-0437,London Pub,50,Second-Ball Break,Win,50,-17950
MTH-0438,Moscow Winter,500,Power Break,Win,500,-17450
MTH-0439,Sydney Marina,250,Soft Break,Loss,-250,-17700
MTH-0440,Las Vegas,10000,Power Break,Win,10000,-7700
MTH-0441,Moscow Winter,500,Power Break,Loss,-500,-8200
MTH-0442,London Pub,50,Power Break,Win,50,-8150
MTH-0443,London Pub,50,Soft Break,Win,50,-8100
MTH-0444,Las Vegas,10000,Second-Ball Break,Win,10000,1900
MTH-0445,Tokyo Warrior,2500,Power Break,Win,2500,4400
MTH-0446,Moscow Winter,500,Soft Break,Loss,-500,3900
MTH-0447,Moscow Winter,500,Dry Break (No Pot),Loss,-500,3400
MTH-0448,Tokyo Warrior,2500,Second-Ball Break,Win,2500,5900
MTH-0449,Las Vegas,10000,Power Break,Loss,-10000,-4100
MTH-0450,Las Vegas,10000,Power Break,Win,10000,5900
MTH-0451,London Pub,50,Power Break,Win,50,5950
MTH-0452,Tokyo Warrior,2500,Power Break,Loss,-2500,3450
MTH-0453,Las Vegas,10000,Second-Ball Break,Loss,-10000,-6550
MTH-0454,Sydney Marina,250,Dry Break (No Pot),Loss,-250,-6800
MTH-0455,Moscow Winter,500,Power Break,Win,500,-6300
MTH-0456,London Pub,50,Second-Ball Break,Win,50,-6250
MTH-0457,Tokyo Warrior,2500,Second-Ball Break,Win,2500,-3750
MTH-0458,London Pub,50,Second-Ball Break,Win,50,-3700
MTH-0459,Las Vegas,10000,Power Break,Loss,-10000,-13700
MTH-0460,Las Vegas,10000,Soft Break,Win,10000,-3700
MTH-0461,Sydney Marina,250,Dry Break (No Pot),Loss,-250,-3950
MTH-0462,Moscow Winter,500,Dry Break (No Pot),Loss,-500,-4450
MTH-0463,Tokyo Warrior,2500,Second-Ball Break,Win,2500,-1950
MTH-0464,London Pub,50,Power Break,Loss,-50,-2000
MTH-0465,Moscow Winter,500,Second-Ball Break,Win,500,-1500
MTH-0466,Las Vegas,10000,Power Break,Loss,-10000,-11500
MTH-0467,Moscow Winter,500,Dry Break (No Pot),Loss,-500,-12000
MTH-0468,London Pub,50,Power Break,Win,50,-11950
MTH-0469,Moscow Winter,500,Power Break,Loss,-500,-12450
MTH-0470,Las Vegas,10000,Power Break,Loss,-10000,-22450
MTH-0471,Moscow Winter,500,Power Break,Loss,-500,-22950
MTH-0472,Tokyo Warrior,2500,Second-Ball Break,Loss,-2500,-25450
MTH-0473,Moscow Winter,500,Power Break,Win,500,-24950
MTH-0474,Tokyo Warrior,2500,Power Break,Loss,-2500,-27450
MTH-0475,Moscow Winter,500,Dry Break (No Pot),Loss,-500,-27950
MTH-0476,Las Vegas,10000,Second-Ball Break,Loss,-10000,-37950
MTH-0477,Sydney Marina,250,Power Break,Loss,-250,-38200
MTH-0478,Sydney Marina,250,Second-Ball Break,Win,250,-37950
MTH-0479,Tokyo Warrior,2500,Second-Ball Break,Win,2500,-35450
MTH-0480,Tokyo Warrior,2500,Power Break,Loss,-2500,-37950
MTH-0481,Sydney Marina,250,Power Break,Loss,-250,-38200
MTH-0482,Las Vegas,10000,Power Break,Win,10000,-28200
MTH-0483,Las Vegas,10000,Power Break,Win,10000,-18200
MTH-0484,Moscow Winter,500,Soft Break,Win,500,-17700
MTH-0485,Tokyo Warrior,2500,Second-Ball Break,Win,2500,-15200
MTH-0486,Las Vegas,10000,Second-Ball Break,Loss,-10000,-25200
MTH-0487,London Pub,50,Soft Break,Win,50,-25150
MTH-0488,Moscow Winter,500,Power Break,Win,500,-24650
MTH-0489,Moscow Winter,500,Second-Ball Break,Win,500,-24150
MTH-0490,Sydney Marina,250,Second-Ball Break,Win,250,-23900
MTH-0491,Tokyo Warrior,2500,Power Break,Loss,-2500,-26400
MTH-0492,Las Vegas,10000,Power Break,Win,10000,-16400
MTH-0493,Las Vegas,10000,Soft Break,Loss,-10000,-26400
MTH-0494,Moscow Winter,500,Second-Ball Break,Win,500,-25900
MTH-0495,Tokyo Warrior,2500,Power Break,Loss,-2500,-28400
MTH-0496,Tokyo Warrior,2500,Soft Break,Loss,-2500,-30900
MTH-0497,Tokyo Warrior,2500,Power Break,Loss,-2500,-33400
MTH-0498,Sydney Marina,250,Power Break,Win,250,-33150
MTH-0499,Las Vegas,10000,Dry Break (No Pot),Win,10000,-23150
MTH-0500,Tokyo Warrior,2500,Dry Break (No Pot),Loss,-2500,-25650
MTH-0501,Sydney Marina,250,Power Break,Loss,-250,-25900
MTH-0502,London Pub,50,Dry Break (No Pot),Loss,-50,-25950
MTH-0503,Moscow Winter,500,Dry Break (No Pot),Loss,-500,-26450
MTH-0504,Las Vegas,10000,Second-Ball Break,Loss,-10000,-36450
MTH-0505,Las Vegas,10000,Power Break,Win,10000,-26450
MTH-0506,Moscow Winter,500,Power Break,Loss,-500,-26950
MTH-0507,London Pub,50,Dry Break (No Pot),Win,50,-26900
MTH-0508,Sydney Marina,250,Soft Break,Loss,-250,-27150
MTH-0509,Moscow Winter,500,Power Break,Loss,-500,-27650
MTH-0510,Sydney Marina,250,Dry Break (No Pot),Win,250,-27400
MTH-0511,Sydney Marina,250,Second-Ball Break,Win,250,-27150
MTH-0512,Sydney Marina,250,Dry Break (No Pot),Loss,-250,-27400
MTH-0513,London Pub,50,Dry Break (No Pot),Loss,-50,-27450
MTH-0514,London Pub,50,Dry Break (No Pot),Loss,-50,-27500
MTH-0515,Sydney Marina,250,Power Break,Loss,-250,-27750
MTH-0516,Tokyo Warrior,2500,Power Break,Loss,-2500,-30250
MTH-0517,Las Vegas,10000,Power Break,Win,10000,-20250
MTH-0518,London Pub,50,Power Break,Loss,-50,-20300
MTH-0519,Tokyo Warrior,2500,Power Break,Loss,-2500,-22800
MTH-0520,Tokyo Warrior,2500,Power Break,Win,2500,-20300
MTH-0521,Las Vegas,10000,Second-Ball Break,Loss,-10000,-30300
MTH-0522,Sydney Marina,250,Power Break,Loss,-250,-30550
MTH-0523,Tokyo Warrior,2500,Dry Break (No Pot),Loss,-2500,-33050
MTH-0524,Tokyo Warrior,2500,Power Break,Win,2500,-30550
MTH-0525,Tokyo Warrior,2500,Dry Break (No Pot),Win,2500,-28050
MTH-0526,Sydney Marina,250,Dry Break (No Pot),Loss,-250,-28300
MTH-0527,Sydney Marina,250,Dry Break (No Pot),Loss,-250,-28550
MTH-0528,London Pub,50,Dry Break (No Pot),Loss,-50,-28600
MTH-0529,London Pub,50,Soft Break,Loss,-50,-28650
MTH-0530,Tokyo Warrior,2500,Second-Ball Break,Win,2500,-26150
MTH-0531,Sydney Marina,250,Dry Break (No Pot),Loss,-250,-26400
MTH-0532,Sydney Marina,250,Soft Break,Loss,-250,-26650
MTH-0533,Las Vegas,10000,Second-Ball Break,Loss,-10000,-36650
MTH-0534,Tokyo Warrior,2500,Power Break,Win,2500,-34150
MTH-0535,London Pub,50,Power Break,Win,50,-34100
MTH-0536,Las Vegas,10000,Power Break,Win,10000,-24100
MTH-0537,Sydney Marina,250,Power Break,Win,250,-23850
MTH-0538,London Pub,50,Dry Break (No Pot),Loss,-50,-23900
MTH-0539,Tokyo Warrior,2500,Power Break,Loss,-2500,-26400
MTH-0540,Sydney Marina,250,Power Break,Loss,-250,-26650
MTH-0541,Tokyo Warrior,2500,Soft Break,Win,2500,-24150
MTH-0542,Las Vegas,10000,Second-Ball Break,Loss,-10000,-34150
MTH-0543,Las Vegas,10000,Dry Break (No Pot),Loss,-10000,-44150
MTH-0544,Las Vegas,10000,Second-Ball Break,Win,10000,-34150
MTH-0545,Moscow Winter,500,Dry Break (No Pot),Win,500,-33650
MTH-0546,Tokyo Warrior,2500,Dry Break (No Pot),Loss,-2500,-36150
MTH-0547,Las Vegas,10000,Second-Ball Break,Win,10000,-26150
MTH-0548,Las Vegas,10000,Power Break,Win,10000,-16150
MTH-0549,Tokyo Warrior,2500,Power Break,Win,2500,-13650
MTH-0550,Las Vegas,10000,Soft Break,Win,10000,-3650
MTH-0551,Tokyo Warrior,2500,Power Break,Loss,-2500,-6150
MTH-0552,Sydney Marina,250,Dry Break (No Pot),Loss,-250,-6400
MTH-0553,Tokyo Warrior,2500,Dry Break (No Pot),Win,2500,-3900
MTH-0554,Tokyo Warrior,2500,Power Break,Loss,-2500,-6400
MTH-0555,Moscow Winter,500,Second-Ball Break,Win,500,-5900
MTH-0556,Sydney Marina,250,Dry Break (No Pot),Win,250,-5650
MTH-0557,Moscow Winter,500,Power Break,Loss,-500,-6150
MTH-0558,Las Vegas,10000,Second-Ball Break,Win,10000,3850
MTH-0559,Tokyo Warrior,2500,Power Break,Loss,-2500,1350
MTH-0560,Sydney Marina,250,Power Break,Win,250,1600
MTH-0561,Moscow Winter,500,Dry Break (No Pot),Loss,-500,1100
MTH-0562,Tokyo Warrior,2500,Dry Break (No Pot),Loss,-2500,-1400
MTH-0563,London Pub,50,Second-Ball Break,Win,50,-1350
MTH-0564,Moscow Winter,500,Power Break,Win,500,-850
MTH-0565,Sydney Marina,250,Power Break,Win,250,-600
MTH-0566,Moscow Winter,500,Soft Break,Loss,-500,-1100
MTH-0567,Moscow Winter,500,Power Break,Win,500,-600
MTH-0568,Moscow Winter,500,Second-Ball Break,Win,500,-100
MTH-0569,Las Vegas,10000,Dry Break (No Pot),Loss,-10000,-10100
MTH-0570,London Pub,50,Second-Ball Break,Win,50,-10050
MTH-0571,Sydney Marina,250,Dry Break (No Pot),Loss,-250,-10300
MTH-0572,Sydney Marina,250,Second-Ball Break,Win,250,-10050
MTH-0573,Sydney Marina,250,Power Break,Loss,-250,-10300
MTH-0574,Tokyo Warrior,2500,Soft Break,Loss,-2500,-12800
MTH-0575,Sydney Marina,250,Dry Break (No Pot),Loss,-250,-13050
MTH-0576,Sydney Marina,250,Soft Break,Loss,-250,-13300
MTH-0577,London Pub,50,Second-Ball Break,Loss,-50,-13350
MTH-0578,Tokyo Warrior,2500,Second-Ball Break,Loss,-2500,-15850
MTH-0579,Tokyo Warrior,2500,Power Break,Loss,-2500,-18350
MTH-0580,Moscow Winter,500,Dry Break (No Pot),Win,500,-17850
MTH-0581,Las Vegas,10000,Dry Break (No Pot),Win,10000,-7850
MTH-0582,Tokyo Warrior,2500,Power Break,Loss,-2500,-10350
MTH-0583,Tokyo Warrior,2500,Power Break,Loss,-2500,-12850
MTH-0584,London Pub,50,Dry Break (No Pot),Loss,-50,-12900
MTH-0585,Sydney Marina,250,Power Break,Win,250,-12650
MTH-0586,Tokyo Warrior,2500,Second-Ball Break,Loss,-2500,-15150
MTH-0587,Tokyo Warrior,2500,Second-Ball Break,Win,2500,-12650
MTH-0588,Las Vegas,10000,Second-Ball Break,Win,10000,-2650
MTH-0589,London Pub,50,Soft Break,Win,50,-2600
MTH-0590,Las Vegas,10000,Soft Break,Loss,-10000,-12600
MTH-0591,Tokyo Warrior,2500,Dry Break (No Pot),Loss,-2500,-15100
MTH-0592,Tokyo Warrior,2500,Second-Ball Break,Loss,-2500,-17600
MTH-0593,London Pub,50,Power Break,Loss,-50,-17650
MTH-0594,Moscow Winter,500,Second-Ball Break,Win,500,-17150
MTH-0595,Moscow Winter,500,Power Break,Loss,-500,-17650
MTH-0596,Tokyo Warrior,2500,Power Break,Loss,-2500,-20150
MTH-0597,Tokyo Warrior,2500,Power Break,Loss,-2500,-22650
MTH-0598,Las Vegas,10000,Power Break,Loss,-10000,-32650
MTH-0599,Las Vegas,10000,Dry Break (No Pot),Loss,-10000,-42650
MTH-0600,Las Vegas,10000,Soft Break,Win,10000,-32650
MTH-0601,Sydney Marina,250,Soft Break,Win,250,-32400
MTH-0602,Tokyo Warrior,2500,Power Break,Win,2500,-29900
MTH-0603,Sydney Marina,250,Second-Ball Break,Loss,-250,-30150
MTH-0604,Moscow Winter,500,Second-Ball Break,Win,500,-29650
MTH-0605,Tokyo Warrior,2500,Power Break,Loss,-2500,-32150
MTH-0606,Tokyo Warrior,2500,Second-Ball Break,Win,2500,-29650
MTH-0607,London Pub,50,Power Break,Loss,-50,-29700
MTH-0608,Tokyo Warrior,2500,Second-Ball Break,Win,2500,-27200
MTH-0609,Moscow Winter,500,Power Break,Loss,-500,-27700
MTH-0610,Tokyo Warrior,2500,Second-Ball Break,Win,2500,-25200
MTH-0611,Sydney Marina,250,Dry Break (No Pot),Win,250,-24950
MTH-0612,Tokyo Warrior,2500,Second-Ball Break,Loss,-2500,-27450
MTH-0613,Sydney Marina,250,Second-Ball Break,Win,250,-27200
MTH-0614,Las Vegas,10000,Power Break,Win,10000,-17200
MTH-0615,Las Vegas,10000,Dry Break (No Pot),Loss,-10000,-27200
MTH-0616,London Pub,50,Dry Break (No Pot),Win,50,-27150
MTH-0617,Tokyo Warrior,2500,Power Break,Win,2500,-24650
MTH-0618,Las Vegas,10000,Second-Ball Break,Win,10000,-14650
MTH-0619,Las Vegas,10000,Dry Break (No Pot),Loss,-10000,-24650
MTH-0620,London Pub,50,Dry Break (No Pot),Win,50,-24600
MTH-0621,London Pub,50,Dry Break (No Pot),Loss,-50,-24650
MTH-0622,Tokyo Warrior,2500,Soft Break,Loss,-2500,-27150
MTH-0623,Sydney Marina,250,Soft Break,Loss,-250,-27400
MTH-0624,Tokyo Warrior,2500,Power Break,Win,2500,-24900
MTH-0625,Sydney Marina,250,Dry Break (No Pot),Loss,-250,-25150
MTH-0626,London Pub,50,Soft Break,Loss,-50,-25200
MTH-0627,Moscow Winter,500,Power Break,Win,500,-24700
MTH-0628,Tokyo Warrior,2500,Second-Ball Break,Win,2500,-22200
MTH-0629,Moscow Winter,500,Power Break,Win,500,-21700
MTH-0630,Sydney Marina,250,Power Break,Loss,-250,-21950
MTH-0631,Tokyo Warrior,2500,Power Break,Loss,-2500,-24450
MTH-0632,Moscow Winter,500,Power Break,Win,500,-23950
MTH-0633,Moscow Winter,500,Power Break,Win,500,-23450
MTH-0634,Tokyo Warrior,2500,Power Break,Win,2500,-20950
MTH-0635,Moscow Winter,500,Second-Ball Break,Win,500,-20450
MTH-0636,Tokyo Warrior,2500,Second-Ball Break,Loss,-2500,-22950
MTH-0637,Moscow Winter,500,Soft Break,Win,500,-22450
MTH-0638,London Pub,50,Second-Ball Break,Win,50,-22400
MTH-0639,Tokyo Warrior,2500,Power Break,Loss,-2500,-24900
MTH-0640,London Pub,50,Power Break,Win,50,-24850
MTH-0641,Las Vegas,10000,Second-Ball Break,Loss,-10000,-34850
MTH-0642,London Pub,50,Second-Ball Break,Win,50,-34800
MTH-0643,Moscow Winter,500,Power Break,Loss,-500,-35300
MTH-0644,Sydney Marina,250,Power Break,Win,250,-35050
MTH-0645,London Pub,50,Power Break,Win,50,-35000
MTH-0646,London Pub,50,Power Break,Win,50,-34950
MTH-0647,London Pub,50,Second-Ball Break,Loss,-50,-35000
MTH-0648,Sydney Marina,250,Dry Break (No Pot),Win,250,-34750
MTH-0649,Sydney Marina,250,Power Break,Win,250,-34500
MTH-0650,London Pub,50,Second-Ball Break,Loss,-50,-34550
MTH-0651,Las Vegas,10000,Power Break,Loss,-10000,-44550
MTH-0652,Sydney Marina,250,Power Break,Loss,-250,-44800
MTH-0653,Sydney Marina,250,Soft Break,Loss,-250,-45050
MTH-0654,Sydney Marina,250,Soft Break,Loss,-250,-45300
MTH-0655,Tokyo Warrior,2500,Power Break,Loss,-2500,-47800
MTH-0656,London Pub,50,Power Break,Loss,-50,-47850
MTH-0657,Las Vegas,10000,Second-Ball Break,Loss,-10000,-57850
MTH-0658,Sydney Marina,250,Second-Ball Break,Win,250,-57600
MTH-0659,Tokyo Warrior,2500,Second-Ball Break,Loss,-2500,-60100
MTH-0660,Moscow Winter,500,Power Break,Win,500,-59600
MTH-0661,Moscow Winter,500,Power Break,Win,500,-59100
MTH-0662,Sydney Marina,250,Dry Break (No Pot),Win,250,-58850
MTH-0663,Las Vegas,10000,Dry Break (No Pot),Loss,-10000,-68850
MTH-0664,Las Vegas,10000,Power Break,Loss,-10000,-78850
MTH-0665,London Pub,50,Second-Ball Break,Win,50,-78800
MTH-0666,Sydney Marina,250,Second-Ball Break,Loss,-250,-79050
MTH-0667,Moscow Winter,500,Power Break,Loss,-500,-79550
MTH-0668,London Pub,50,Dry Break (No Pot),Loss,-50,-79600
MTH-0669,Las Vegas,10000,Power Break,Loss,-10000,-89600
MTH-0670,London Pub,50,Power Break,Win,50,-89550
MTH-0671,Moscow Winter,500,Power Break,Win,500,-89050
MTH-0672,Las Vegas,10000,Dry Break (No Pot),Loss,-10000,-99050
MTH-0673,Tokyo Warrior,2500,Soft Break,Loss,-2500,-101550
MTH-0674,Tokyo Warrior,2500,Power Break,Win,2500,-99050
MTH-0675,Sydney Marina,250,Dry Break (No Pot),Win,250,-98800
MTH-0676,London Pub,50,Dry Break (No Pot),Loss,-50,-98850
MTH-0677,Las Vegas,10000,Second-Ball Break,Loss,-10000,-108850
MTH-0678,Sydney Marina,250,Second-Ball Break,Loss,-250,-109100
MTH-0679,London Pub,50,Dry Break (No Pot),Loss,-50,-109150
MTH-0680,Moscow Winter,500,Power Break,Loss,-500,-109650
MTH-0681,Las Vegas,10000,Dry Break (No Pot),Win,10000,-99650
MTH-0682,London Pub,50,Second-Ball Break,Win,50,-99600
MTH-0683,Las Vegas,10000,Soft Break,Win,10000,-89600
MTH-0684,London Pub,50,Soft Break,Loss,-50,-89650
MTH-0685,Moscow Winter,500,Power Break,Win,500,-89150
MTH-0686,Las Vegas,10000,Dry Break (No Pot),Win,10000,-79150
MTH-0687,Tokyo Warrior,2500,Dry Break (No Pot),Loss,-2500,-81650
MTH-0688,Moscow Winter,500,Power Break,Loss,-500,-82150
MTH-0689,London Pub,50,Second-Ball Break,Win,50,-82100
MTH-0690,Las Vegas,10000,Power Break,Loss,-10000,-92100
MTH-0691,Moscow Winter,500,Power Break,Win,500,-91600
MTH-0692,London Pub,50,Dry Break (No Pot),Win,50,-91550
MTH-0693,Tokyo Warrior,2500,Second-Ball Break,Win,2500,-89050
MTH-0694,Tokyo Warrior,2500,Soft Break,Win,2500,-86550
MTH-0695,London Pub,50,Dry Break (No Pot),Loss,-50,-86600
MTH-0696,Tokyo Warrior,2500,Power Break,Win,2500,-84100
MTH-0697,Moscow Winter,500,Power Break,Loss,-500,-84600
MTH-0698,Tokyo Warrior,2500,Power Break,Loss,-2500,-87100
MTH-0699,Sydney Marina,250,Second-Ball Break,Win,250,-86850
MTH-0700,Tokyo Warrior,2500,Second-Ball Break,Loss,-2500,-89350
MTH-0701,Sydney Marina,250,Power Break,Win,250,-89100
MTH-0702,Las Vegas,10000,Power Break,Loss,-10000,-99100
MTH-0703,Moscow Winter,500,Second-Ball Break,Win,500,-98600
MTH-0704,Las Vegas,10000,Dry Break (No Pot),Loss,-10000,-108600
MTH-0705,Las Vegas,10000,Second-Ball Break,Loss,-10000,-118600
MTH-0706,Tokyo Warrior,2500,Power Break,Win,2500,-116100
MTH-0707,Tokyo Warrior,2500,Power Break,Win,2500,-113600
MTH-0708,Tokyo Warrior,2500,Second-Ball Break,Loss,-2500,-116100
MTH-0709,Las Vegas,10000,Power Break,Win,10000,-106100
MTH-0710,Moscow Winter,500,Second-Ball Break,Loss,-500,-106600
MTH-0711,Moscow Winter,500,Power Break,Loss,-500,-107100
MTH-0712,Sydney Marina,250,Power Break,Win,250,-106850
MTH-0713,London Pub,50,Dry Break (No Pot),Loss,-50,-106900
MTH-0714,Moscow Winter,500,Power Break,Loss,-500,-107400
MTH-0715,Tokyo Warrior,2500,Second-Ball Break,Loss,-2500,-109900
MTH-0716,Sydney Marina,250,Second-Ball Break,Win,250,-109650
MTH-0717,Tokyo Warrior,2500,Second-Ball Break,Loss,-2500,-112150
MTH-0718,Las Vegas,10000,Power Break,Win,10000,-102150
MTH-0719,Las Vegas,10000,Power Break,Loss,-10000,-112150
MTH-0720,Tokyo Warrior,2500,Power Break,Loss,-2500,-114650
MTH-0721,Moscow Winter,500,Dry Break (No Pot),Win,500,-114150
MTH-0722,London Pub,50,Second-Ball Break,Win,50,-114100
MTH-0723,Tokyo Warrior,2500,Dry Break (No Pot),Win,2500,-111600
MTH-0724,Moscow Winter,500,Second-Ball Break,Loss,-500,-112100
MTH-0725,Sydney Marina,250,Dry Break (No Pot),Loss,-250,-112350
MTH-0726,Tokyo Warrior,2500,Second-Ball Break,Win,2500,-109850
MTH-0727,Sydney Marina,250,Dry Break (No Pot),Loss,-250,-110100
MTH-0728,Moscow Winter,500,Power Break,Loss,-500,-110600
MTH-0729,Moscow Winter,500,Second-Ball Break,Loss,-500,-111100
MTH-0730,Moscow Winter,500,Power Break,Loss,-500,-111600
MTH-0731,Moscow Winter,500,Power Break,Loss,-500,-112100
MTH-0732,Las Vegas,10000,Power Break,Loss,-10000,-122100
MTH-0733,Moscow Winter,500,Dry Break (No Pot),Win,500,-121600
MTH-0734,Las Vegas,10000,Dry Break (No Pot),Loss,-10000,-131600
MTH-0735,London Pub,50,Dry Break (No Pot),Loss,-50,-131650
MTH-0736,Las Vegas,10000,Second-Ball Break,Loss,-10000,-141650
MTH-0737,Sydney Marina,250,Dry Break (No Pot),Loss,-250,-141900
MTH-0738,London Pub,50,Power Break,Loss,-50,-141950
MTH-0739,Sydney Marina,250,Dry Break (No Pot),Loss,-250,-142200
MTH-0740,Tokyo Warrior,2500,Soft Break,Loss,-2500,-144700
MTH-0741,Tokyo Warrior,2500,Dry Break (No Pot),Win,2500,-142200
MTH-0742,Las Vegas,10000,Second-Ball Break,Win,10000,-132200
MTH-0743,Sydney Marina,250,Power Break,Win,250,-131950
MTH-0744,Tokyo Warrior,2500,Power Break,Loss,-2500,-134450
MTH-0745,Tokyo Warrior,2500,Power Break,Win,2500,-131950
MTH-0746,Tokyo Warrior,2500,Power Break,Win,2500,-129450
MTH-0747,London Pub,50,Power Break,Win,50,-129400
MTH-0748,London Pub,50,Second-Ball Break,Loss,-50,-129450
MTH-0749,Moscow Winter,500,Second-Ball Break,Win,500,-128950
MTH-0750,Sydney Marina,250,Power Break,Loss,-250,-129200
MTH-0751,Tokyo Warrior,2500,Second-Ball Break,Win,2500,-126700
MTH-0752,Sydney Marina,250,Power Break,Win,250,-126450
MTH-0753,Moscow Winter,500,Power Break,Win,500,-125950
MTH-0754,Las Vegas,10000,Second-Ball Break,Win,10000,-115950
MTH-0755,Moscow Winter,500,Second-Ball Break,Loss,-500,-116450
MTH-0756,Tokyo Warrior,2500,Dry Break (No Pot),Loss,-2500,-118950
MTH-0757,Las Vegas,10000,Dry Break (No Pot),Win,10000,-108950
MTH-0758,Las Vegas,10000,Power Break,Win,10000,-98950
MTH-0759,Moscow Winter,500,Second-Ball Break,Loss,-500,-99450
MTH-0760,Tokyo Warrior,2500,Power Break,Loss,-2500,-101950
MTH-0761,Las Vegas,10000,Power Break,Loss,-10000,-111950
MTH-0762,Moscow Winter,500,Power Break,Win,500,-111450
MTH-0763,Moscow Winter,500,Second-Ball Break,Win,500,-110950
MTH-0764,Tokyo Warrior,2500,Power Break,Win,2500,-108450
MTH-0765,Moscow Winter,500,Dry Break (No Pot),Loss,-500,-108950
MTH-0766,Moscow Winter,500,Power Break,Loss,-500,-109450
MTH-0767,Moscow Winter,500,Soft Break,Win,500,-108950
MTH-0768,Sydney Marina,250,Second-Ball Break,Win,250,-108700
MTH-0769,London Pub,50,Power Break,Loss,-50,-108750
MTH-0770,Sydney Marina,250,Power Break,Loss,-250,-109000
MTH-0771,Moscow Winter,500,Soft Break,Win,500,-108500
MTH-0772,London Pub,50,Second-Ball Break,Win,50,-108450
MTH-0773,Las Vegas,10000,Dry Break (No Pot),Loss,-10000,-118450
MTH-0774,Sydney Marina,250,Dry Break (No Pot),Loss,-250,-118700
MTH-0775,Sydney Marina,250,Power Break,Loss,-250,-118950
MTH-0776,Sydney Marina,250,Dry Break (No Pot),Loss,-250,-119200
MTH-0777,Tokyo Warrior,2500,Dry Break (No Pot),Loss,-2500,-121700
MTH-0778,Moscow Winter,500,Power Break,Win,500,-121200
MTH-0779,Las Vegas,10000,Second-Ball Break,Win,10000,-111200
MTH-0780,Las Vegas,10000,Dry Break (No Pot),Loss,-10000,-121200
MTH-0781,Las Vegas,10000,Power Break,Win,10000,-111200
MTH-0782,Moscow Winter,500,Soft Break,Win,500,-110700
MTH-0783,London Pub,50,Dry Break (No Pot),Loss,-50,-110750
MTH-0784,Sydney Marina,250,Second-Ball Break,Win,250,-110500
MTH-0785,Moscow Winter,500,Second-Ball Break,Win,500,-110000
MTH-0786,Sydney Marina,250,Second-Ball Break,Win,250,-109750
MTH-0787,Moscow Winter,500,Soft Break,Loss,-500,-110250
MTH-0788,Sydney Marina,250,Power Break,Win,250,-110000
MTH-0789,Moscow Winter,500,Power Break,Loss,-500,-110500
MTH-0790,London Pub,50,Second-Ball Break,Win,50,-110450
MTH-0791,Las Vegas,10000,Power Break,Win,10000,-100450
MTH-0792,Sydney Marina,250,Second-Ball Break,Win,250,-100200
MTH-0793,Moscow Winter,500,Dry Break (No Pot),Win,500,-99700
MTH-0794,London Pub,50,Second-Ball Break,Win,50,-99650
MTH-0795,London Pub,50,Second-Ball Break,Loss,-50,-99700
MTH-0796,Las Vegas,10000,Second-Ball Break,Loss,-10000,-109700
MTH-0797,Moscow Winter,500,Power Break,Win,500,-109200
MTH-0798,Sydney Marina,250,Soft Break,Loss,-250,-109450
MTH-0799,Tokyo Warrior,2500,Power Break,Win,2500,-106950
MTH-0800,London Pub,50,Power Break,Loss,-50,-107000
MTH-0801,London Pub,50,Power Break,Win,50,-106950
MTH-0802,Las Vegas,10000,Power Break,Win,10000,-96950
MTH-0803,Moscow Winter,500,Power Break,Loss,-500,-97450
MTH-0804,Tokyo Warrior,2500,Power Break,Loss,-2500,-99950
MTH-0805,Tokyo Warrior,2500,Power Break,Loss,-2500,-102450
MTH-0806,Tokyo Warrior,2500,Dry Break (No Pot),Loss,-2500,-104950
MTH-0807,Moscow Winter,500,Second-Ball Break,Win,500,-104450
MTH-0808,Sydney Marina,250,Power Break,Loss,-250,-104700
MTH-0809,London Pub,50,Dry Break (No Pot),Loss,-50,-104750
MTH-0810,Moscow Winter,500,Second-Ball Break,Loss,-500,-105250
